Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
tcp6       0      0 localhost:56005         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33202         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50208         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56819         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48514         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41810         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51507         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:37256         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58676         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48477         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44317         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:47617         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41880         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57741         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54784         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41161         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33008         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59036         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45380         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:39501         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57146         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35218         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57518         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50457         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54607         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52610         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56944         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44340         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51582         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54871         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53893         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36464         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45231         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43849         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34725         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34868         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45259         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48954         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42413         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59250         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44084         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59283         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48313         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50734         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56191         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33039         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:40440         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:45652         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:32898         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:57178         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54322         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56087         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:47171         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:46565         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56392         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58646         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51824         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54833         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42866         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35008         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:58494         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53891         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:54551         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56424         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:36672         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56983         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56338         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59537         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60814         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41504         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59292         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42243         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:55604         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:56259         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:41047         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:51884         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:52158         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50495         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34224         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:42223         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:34332         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:59996         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:35770         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:53921         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44508         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:50430         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:44454         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:43613         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:33954         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:60872         localhost:5555          TIME_WAIT  
tcp6       0      0 localhost:48447         localhost:5555          TIME_WAIT  
